PMID,Title,Exclusion,Code Available,Data Available,Repository Link,Comments,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
36459804,From sMRI to task-fMRI: A unified geometric deep learning framework for cross-modal brain anatomo-functional mapping,,FALSE,,,,"Zhu Z, Huang T, Zhen Z, Wang B, Wu X, Li S.",Med Image Anal. 2023 Jan;83:102681. doi: 10.1016/j.media.2022.102681. Epub 2022 Nov 7.,Zhu Z,Med Image Anal,2023,2022/12/02,,,10.1016/j.media.2022.102681
36610681,Estimation of neuronal task information in fMRI using zero frequency resonator,,FALSE,,,,"Das SK, Sao AK, Biswal BB.",Neuroimage. 2023 Feb 15;267:119865. doi: 10.1016/j.neuroimage.2023.119865. Epub 2023 Jan 5.,Das SK,Neuroimage,2023,2023/01/07,PMC10635735,NIHMS1867085,10.1016/j.neuroimage.2023.119865
37271304,Functional characterization of macaque insula using task-based and resting-state fMRI,,FALSE,,,,"Sypré L, Durand JB, Nelissen K.",Neuroimage. 2023 Aug 1;276:120217. doi: 10.1016/j.neuroimage.2023.120217. Epub 2023 Jun 2.,Sypré L,Neuroimage,2023,2023/06/04,,,10.1016/j.neuroimage.2023.120217
36341968,A radiofrequency coil to facilitate task-based fMRI of awake marmosets,,FALSE,,,,"Gilbert KM, Dureux A, Jafari A, Zanini A, Zeman P, Menon RS, Everling S.",J Neurosci Methods. 2023 Jan 1;383:109737. doi: 10.1016/j.jneumeth.2022.109737. Epub 2022 Oct 29.,Gilbert KM,J Neurosci Methods,2023,2022/11/07,,,10.1016/j.jneumeth.2022.109737
35944754,Systematic Review and Meta-analysis: Task-based fMRI Studies in Youths With Irritability,Not original research,,,,,"Lee KS, Hagan CN, Hughes M, Cotter G, McAdam Freud E, Kircanski K, Leibenluft E, Brotman MA, Tseng WL.",J Am Acad Child Adolesc Psychiatry. 2023 Feb;62(2):208-229. doi: 10.1016/j.jaac.2022.05.014. Epub 2022 Aug 6.,Lee KS,J Am Acad Child Adolesc Psychiatry,2023,2022/08/09,PMC9892288,NIHMS1845984,10.1016/j.jaac.2022.05.014
35916600,Neural predictors of cognitive-behavior therapy outcome in anxiety-related disorders: a meta-analysis of task-based fMRI studies,Not original research,,,,,"Picó-Pérez M, Fullana MA, Albajes-Eizagirre A, Vega D, Marco-Pallarés J, Vilar A, Chamorro J, Felmingham KL, Harrison BJ, Radua J, Soriano-Mas C.",Psychol Med. 2023 Jun;53(8):3387-3395. doi: 10.1017/S0033291721005444. Epub 2022 Jan 11.,Picó-Pérez M,Psychol Med,2023,2022/08/02,,,10.1017/S0033291721005444
37072074,Hemodynamic timing in resting-state and breathing-task BOLD fMRI,,TRUE,,github.com/BrightLab-ANVIL/Gong_2023,"Hard coded paths, no requirements.txt file, extensive README","Gong J, Stickland RC, Bright MG.",Neuroimage. 2023 Jul 1;274:120120. doi: 10.1016/j.neuroimage.2023.120120. Epub 2023 Apr 16.,Gong J,Neuroimage,2023,2023/04/18,PMC10208394,NIHMS1900796,10.1016/j.neuroimage.2023.120120
36382406,Test-retest reliability of a finger-tapping fMRI task in a healthy population,,FALSE,,,,"Wüthrich F, Lefebvre S, Nadesalingam N, Bernard JA, Mittal VA, Shankman SA, Walther S.",Eur J Neurosci. 2023 Jan;57(1):78-90. doi: 10.1111/ejn.15865. Epub 2022 Nov 25.,Wüthrich F,Eur J Neurosci,2023,2022/11/16,PMC9990175,NIHMS1874588,10.1111/ejn.15865
36866516,Unbalance between working memory task-activation and task-deactivation networks in epilepsy: Simultaneous EEG-fMRI study,,FALSE,,,,"Qin Y, Jiang S, Xiong S, Li S, Fu Q, Yang L, Du P, Luo C, Yao D.",J Neurosci Res. 2023 Jul;101(7):1188-1199. doi: 10.1002/jnr.25183. Epub 2023 Mar 3.,Qin Y,J Neurosci Res,2023,2023/03/03,,,10.1002/jnr.25183
36842608,"The amygdala connectivity with depression and suicide ideation with suicide behavior: A meta-analysis of structural MRI, resting-state fMRI and task fMRI",Not original research,,,,,"Nawaz H, Shah I, Ali S.",Prog Neuropsychopharmacol Biol Psychiatry. 2023 Jun 8;124:110736. doi: 10.1016/j.pnpbp.2023.110736. Epub 2023 Feb 24.,Nawaz H,Prog Neuropsychopharmacol Biol Psychiatry,2023,2023/02/26,,,10.1016/j.pnpbp.2023.110736
36575865,Motor network reorganization after motor imagery training in stroke patients with moderate to severe upper limb impairment,,FALSE,,,,"Wang H, Xiong X, Zhang K, Wang X, Sun C, Zhu B, Xu Y, Fan M, Tong S, Guo X, Sun L.",CNS Neurosci Ther. 2023 Feb;29(2):619-632. doi: 10.1111/cns.14065. Epub 2022 Dec 27.,Wang H,CNS Neurosci Ther,2023,2022/12/28,PMC9873524,,10.1111/cns.14065
37147471,Variational relevance evaluation of individual fMRI data enables deconstruction of task-dependent neural dynamics,,FALSE,,,,"Lv X, Funahashi S, Li C, Wu J.",Commun Biol. 2023 May 5;6(1):491. doi: 10.1038/s42003-023-04804-3.,Lv X,Commun Biol,2023,2023/05/05,PMC10163018,,10.1038/s42003-023-04804-3
37072625,A systematic review of the neurobiological effects of theta-burst stimulation (TBS) as measured using functional magnetic resonance imaging (fMRI),Not original research,,,,,"Kirkovski M, Donaldson PH, Do M, Speranza BE, Albein-Urios N, Oberman LM, Enticott PG.",Brain Struct Funct. 2023 May;228(3-4):717-749. doi: 10.1007/s00429-023-02634-x. Epub 2023 Apr 19.,Kirkovski M,Brain Struct Funct,2023,2023/04/18,PMC10113132,,10.1007/s00429-023-02634-x
37268097,Generalizing prediction of task-evoked brain activity across datasets and populations,,FALSE,,,,"Tik N, Gal S, Madar A, Ben-David T, Bernstein-Eliav M, Tavor I.",Neuroimage. 2023 Aug 1;276:120213. doi: 10.1016/j.neuroimage.2023.120213. Epub 2023 Jun 1.,Tik N,Neuroimage,2023,2023/06/02,,,10.1016/j.neuroimage.2023.120213
37544086,Brain functional alterations in patients with anorexia nervosa: A meta-analysis of task-based functional MRI studies,Not original research,,,,,"Zhong S, Su T, Gong J, Huang L, Wang Y.",Psychiatry Res. 2023 Sep;327:115358. doi: 10.1016/j.psychres.2023.115358. Epub 2023 Jul 28.,Zhong S,Psychiatry Res,2023,2023/08/06,,,10.1016/j.psychres.2023.115358
37279968,Age-related differences in interference control in the context of a finger-lifting task: an fMRI study,,FALSE,,,,"Riva F, Pronizius E, Lenger M, Kronbichler M, Silani G, Lamm C.",Soc Cogn Affect Neurosci. 2023 Jul 7;18(1):nsad034. doi: 10.1093/scan/nsad034.,Riva F,Soc Cogn Affect Neurosci,2023,2023/06/06,PMC10329405,,10.1093/scan/nsad034
37683943,Machine learning applied to functional magnetic resonance imaging in anxiety disorders,Not original research,,,,,"Rezaei S, Gharepapagh E, Rashidi F, Cattarinussi G, Sanjari Moghaddam H, Di Camillo F, Schiena G, Sambataro F, Brambilla P, Delvecchio G.",J Affect Disord. 2023 Dec 1;342:54-62. doi: 10.1016/j.jad.2023.09.006. Epub 2023 Sep 6.,Rezaei S,J Affect Disord,2023,2023/09/08,,,10.1016/j.jad.2023.09.006
37447716,Spatial Smoothing Effect on Group-Level Functional Connectivity during Resting and Task-Based fMRI,,FALSE,,,,Candemir C.,Sensors (Basel). 2023 Jun 24;23(13):5866. doi: 10.3390/s23135866.,Candemir C,Sensors (Basel),2023,2023/07/14,PMC10346894,,10.3390/s23135866
37099896,Learning task-agnostic and interpretable subsequence-based representation of time series and its applications in fMRI analysis,,TRUE,,https://github.com/LeonBai/Task-agnostic,,"Bai W, Yamashita O, Yoshimoto J.",Neural Netw. 2023 Jun;163:327-340. doi: 10.1016/j.neunet.2023.03.038. Epub 2023 Apr 17.,Bai W,Neural Netw,2023,2023/04/26,,,10.1016/j.neunet.2023.03.038
36442732,Modeling the dynamics of cerebrovascular reactivity to carbon dioxide in fMRI under task and resting-state conditions,,FALSE,,,,"Shams S, Prokopiou P, Esmaelbeigi A, Mitsis GD, Chen JJ.",Neuroimage. 2023 Jan;265:119758. doi: 10.1016/j.neuroimage.2022.119758. Epub 2022 Nov 25.,Shams S,Neuroimage,2023,2022/11/28,,,10.1016/j.neuroimage.2022.119758
37156399,Comprehensive review of task-based neuroimaging studies of cognitive deficits in Alzheimer's disease using electrophysiological methods,Not original research,,,,,"Casagrande CC, Rempe MP, Springer SD, Wilson TW.",Ageing Res Rev. 2023 Jul;88:101950. doi: 10.1016/j.arr.2023.101950. Epub 2023 May 6.,Casagrande CC,Ageing Res Rev,2023,2023/05/08,PMC10261850,NIHMS1900948,10.1016/j.arr.2023.101950
36526104,The neural correlates of mental fatigue and reward processing: A task-based fMRI study,,FALSE,,,,"Darnai G, Matuz A, Alhour HA, Perlaki G, Orsi G, Arató Á, Szente A, Áfra E, Nagy SA, Janszky J, Csathó Á.",Neuroimage. 2023 Jan;265:119812. doi: 10.1016/j.neuroimage.2022.119812. Epub 2022 Dec 13.,Darnai G,Neuroimage,2023,2022/12/16,,,10.1016/j.neuroimage.2022.119812
37552410,Common Data Elements for Disorders of Consciousness: Recommendations from the Working Group on Neuroimaging,Not original research,,,,,"Edlow BL, Boerwinkle VL, Annen J, Boly M, Gosseries O, Laureys S, Mukherjee P, Puybasset L, Stevens RD, Threlkeld ZD, Newcombe VFJ, Fernandez-Espejo D; and the Curing Coma Campaign and its Contributing Members.",Neurocrit Care. 2023 Dec;39(3):611-617. doi: 10.1007/s12028-023-01794-2. Epub 2023 Aug 8.,Edlow BL,Neurocrit Care,2023,2023/08/08,,,10.1007/s12028-023-01794-2
36863465,Failure of deactivation in bipolar disorder during performance of an fMRI adapted version of the Stroop task,,FALSE,,,,"Verdolini N, Moreno-Ortega M, Salgado-Pineda P, Monté G, de Aragón AM, Dompablo M, McKenna PJ, Salvador R, Palomo T, Pomarol-Clotet E, Rodriguez-Jimenez R.",J Affect Disord. 2023 May 15;329:307-314. doi: 10.1016/j.jad.2023.02.132. Epub 2023 Feb 28.,Verdolini N,J Affect Disord,2023,2023/03/02,,,10.1016/j.jad.2023.02.132
37625649,Surface-based integration approach for fNIRS-fMRI reliability assessment,,FALSE,,,,"Bonilauri A, Pirastru A, Sangiuliano Intra F, Isernia S, Cazzoli M, Blasi V, Baselli G, Baglio F.",J Neurosci Methods. 2023 Oct 1;398:109952. doi: 10.1016/j.jneumeth.2023.109952. Epub 2023 Aug 23.,Bonilauri A,J Neurosci Methods,2023,2023/08/25,,,10.1016/j.jneumeth.2023.109952
37924429,Topological Data Analysis Captures Task-Driven fMRI Profiles in Individual Participants: A Classification Pipeline Based on Persistence,,TRUE,,https://github.com/catanzaromj/PL_fMRI,"hard-coded paths, no dependencies","Catanzaro MJ, Rizzo S, Kopchick J, Chowdury A, Rosenberg DR, Bubenik P, Diwadkar VA.",Neuroinformatics. 2024 Jan;22(1):45-62. doi: 10.1007/s12021-023-09645-3. Epub 2023 Nov 4.,Catanzaro MJ,Neuroinformatics,2024,2023/11/04,,,10.1007/s12021-023-09645-3
36935330,Baby Brains at Work: How Task-Based Functional Magnetic Resonance Imaging Can Illuminate the Early Emergence of Psychiatric Risk,Not original research,,,,,"Nielsen AN, Graham AM, Sylvester CM.",Biol Psychiatry. 2023 May 15;93(10):880-892. doi: 10.1016/j.biopsych.2023.01.010. Epub 2023 Jan 20.,Nielsen AN,Biol Psychiatry,2023,2023/03/19,PMC10149573,NIHMS1867185,10.1016/j.biopsych.2023.01.010
37184809,The effect of different brain lesions on the reorganization of language functions within the dominant hemisphere assessed with task-based BOLD-fMRI,,FALSE,,,,"Piccirilli E, Sestieri C, Di Clemente L, Delli Pizzi A, Colasurdo M, Panara V, Caulo M.",Radiol Med. 2023 Jun;128(6):775-783. doi: 10.1007/s11547-023-01642-5. Epub 2023 May 15.,Piccirilli E,Radiol Med,2023,2023/05/15,,,10.1007/s11547-023-01642-5
36958618,"Comparing end-tidal CO(2), respiration volume per time (RVT), and average gray matter signal for mapping cerebrovascular reactivity amplitude and delay with breath-hold task BOLD fMRI",,TRUE,,https://git.bcbl.eu/smoia/euskalibur_container,"Singulatiry, Another https://github.com/BrightLab-ANVIL/Zvolanek_2022","Zvolanek KM, Moia S, Dean JN, Stickland RC, Caballero-Gaudes C, Bright MG.",Neuroimage. 2023 May 15;272:120038. doi: 10.1016/j.neuroimage.2023.120038. Epub 2023 Mar 22.,Zvolanek KM,Neuroimage,2023,2023/03/23,PMC10266270,NIHMS1891316,10.1016/j.neuroimage.2023.120038
37315658,Common and distinct patterns of task-related neural activation abnormalities in patients with remitted and current major depressive disorder: A systematic review and coordinate-based meta-analysis,Not original research,,,,,"Wang Z, He D, Yang L, Wang P, Zou Z, Xiao J, Min W, He Y, Zhu H.",Neurosci Biobehav Rev. 2023 Sep;152:105284. doi: 10.1016/j.neubiorev.2023.105284. Epub 2023 Jun 12.,Wang Z,Neurosci Biobehav Rev,2023,2023/06/14,,,10.1016/j.neubiorev.2023.105284
36196782,A comparison of multiband and multiband multiecho gradient-echo EPI for task fMRI at 3 T,,FALSE,,,,"Fazal Z, Gomez DEP, Llera A, Marques JPRF, Beck T, Poser BA, Norris DG.",Hum Brain Mapp. 2023 Jan;44(1):82-93. doi: 10.1002/hbm.26081. Epub 2022 Oct 5.,Fazal Z,Hum Brain Mapp,2023,2022/10/05,PMC9783458,,10.1002/hbm.26081
37454095,The mediating role of default mode network during meaning-making aroused by mental simulation between stressful events and stress-related growth: a task fMRI study,,FALSE,,,,"Chen Y, Ma J, Zhu H, Peng H, Gan Y.",Behav Brain Funct. 2023 Jul 15;19(1):12. doi: 10.1186/s12993-023-00214-x.,Chen Y,Behav Brain Funct,2023,2023/07/15,PMC10350273,,10.1186/s12993-023-00214-x
35697648,Explainable machine learning approach to predict and explain the relationship between task-based fMRI and individual differences in cognition,,TRUE,,,,"Pat N, Wang Y, Bartonicek A, Candia J, Stringaris A.",Cereb Cortex. 2023 Mar 10;33(6):2682-2703. doi: 10.1093/cercor/bhac235.,Pat N,Cereb Cortex,2023,2022/06/13,PMC10016053,,10.1093/cercor/bhac235
37845332,No evidence from a negative mood induction fMRI task for frontal functional asymmetry as a suitable neurofeedback target,,FALSE,,,,"Zhang J, Zamoscik VE, Kirsch P, Gerchen MF.",Sci Rep. 2023 Oct 16;13(1):17557. doi: 10.1038/s41598-023-44694-3.,Zhang J,Sci Rep,2023,2023/10/16,PMC10579342,,10.1038/s41598-023-44694-3
34282680,Topography of the Anxious Self: Abnormal Rest-Task Modulation in Social Anxiety Disorder,Not original research,,,,,"Lucherini Angeletti L, Scalabrini A, Ricca V, Northoff G.",Neuroscientist. 2023 Apr;29(2):221-244. doi: 10.1177/10738584211030497. Epub 2021 Jul 20.,Lucherini Angeletti L,Neuroscientist,2023,2021/07/20,,,10.1177/10738584211030497
35512361,Relating neural oscillations to laminar fMRI connectivity in visual cortex,,TRUE,,https://data.ru.nl/collections/di/dccn/DSC_3015085.01_399,,"Scheeringa R, Bonnefond M, van Mourik T, Jensen O, Norris DG, Koopmans PJ.",Cereb Cortex. 2023 Feb 20;33(5):1537-1549. doi: 10.1093/cercor/bhac154.,Scheeringa R,Cereb Cortex,2023,2022/05/05,PMC9977363,,10.1093/cercor/bhac154
36344388,Neural substrates of theory of mind in adults with autism spectrum disorder: An fMRI study of the social animation task,,FALSE,,,,"Chen T, Gau SS, Wu YY, Chou TL.",J Formos Med Assoc. 2023 Jul;122(7):621-628. doi: 10.1016/j.jfma.2022.10.009. Epub 2022 Nov 4.,Chen T,J Formos Med Assoc,2023,2022/11/07,,,10.1016/j.jfma.2022.10.009
38012795,Effects of a single dose of amisulpride on functional brain changes during reward- and motivation-related processing using task-based fMRI in healthy subjects and patients with major depressive disorder - study protocol for a randomized clinical trial,,FALSE,,,,"Carstens L, Popp M, Keicher C, Hertrampf R, Weigner D, Meiering MS, Luippold G, Süssmuth SD, Beckmann CF, Wunder A, Grimm S.",Trials. 2023 Nov 27;24(1):761. doi: 10.1186/s13063-023-07788-x.,Carstens L,Trials,2023,2023/11/28,PMC10683198,,10.1186/s13063-023-07788-x
37549812,Effects of acute stress on risky decision-making are related to neuroticism: An fMRI study of the Balloon Analogue Risk Task,,FALSE,,,,"Zhu Y, Wang Y, Chen P, Lei Y, Yan F, Yang Z, Yang L, Wang L.",J Affect Disord. 2023 Nov 1;340:120-128. doi: 10.1016/j.jad.2023.08.038. Epub 2023 Aug 6.,Zhu Y,J Affect Disord,2023,2023/08/07,,,10.1016/j.jad.2023.08.038
37322744,fMRI Analysis of Dissociative Convulsions: A Case-Controlled Study,,FALSE,,,,"Garg H, Sharan P, Kumaran SS, Bhargava R, Patra BN, Tripathi M.",Neurol India. 2023 May-Jun;71(3):476-486. doi: 10.4103/0028-3886.378651.,Garg H,Neurol India,2023,2023/06/16,,,10.4103/0028-3886.378651
35802477,Masked features of task states found in individual brain networks,,TRUE,,https://github.com/GrattonLab/Porteretal_taskprediction,Hard-coded paths,"Porter A, Nielsen A, Dorn M, Dworetsky A, Edmonds D, Gratton C.",Cereb Cortex. 2023 Mar 10;33(6):2879-2900. doi: 10.1093/cercor/bhac247.,Porter A,Cereb Cortex,2023,2022/07/08,PMC10016040,,10.1093/cercor/bhac247
37777667,Identification of cognitive load-dependent activation patterns using working memory task-based fMRI at various levels of difficulty,,FALSE,,,,"Miri Ashtiani SN, Daliri MR.",Sci Rep. 2023 Sep 30;13(1):16476. doi: 10.1038/s41598-023-43837-w.,Miri Ashtiani SN,Sci Rep,2023,2023/09/30,PMC10543376,,10.1038/s41598-023-43837-w
36867244,Patterns of Visual Task-based Functional MRI Activation in Chronic Posterior Cerebral Artery Stroke Patients,,FALSE,,,,"Alkolfat F, Abdel Galeel A, Bassiouny AR, Eldeeb H, Radwan A, Ashram YA.",Clin Neuroradiol. 2023 Sep;33(3):769-781. doi: 10.1007/s00062-023-01274-2. Epub 2023 Mar 3.,Alkolfat F,Clin Neuroradiol,2023,2023/03/03,PMC10449980,,10.1007/s00062-023-01274-2
36535826,MRI of difficult discs,,,,,not fmri task,"Waindim F, Crim J.",Clin Radiol. 2023 Mar;78(3):201-208. doi: 10.1016/j.crad.2022.11.009. Epub 2022 Dec 17.,Waindim F,Clin Radiol,2023,2022/12/19,,,10.1016/j.crad.2022.11.009
37050440,Diverse Task Classification from Activation Patterns of Functional Neuro-Images Using Feature Fusion Module,,FALSE,,,,"Bişkin OT, Candemir C, Gonul AS, Selver MA.",Sensors (Basel). 2023 Mar 23;23(7):3382. doi: 10.3390/s23073382.,Bişkin OT,Sensors (Basel),2023,2023/04/13,PMC10098749,,10.3390/s23073382
38083067,Different Cortical Activation of Facial Synkinesis Patients with Different Course of Disease: A Task fMRI Study,,FALSE,,,,"Hu W, Ding W, Jiang J, Wang L.",Annu Int Conf IEEE Eng Med Biol Soc. 2023 Jul;2023:1-4. doi: 10.1109/EMBC40787.2023.10339996.,Hu W,Annu Int Conf IEEE Eng Med Biol Soc,2023,2023/12/12,,,10.1109/EMBC40787.2023.10339996
37669583,Functional brain network identification and fMRI augmentation using a VAE-GAN framework,,FALSE,,,upon request to author,"Qiang N, Gao J, Dong Q, Yue H, Liang H, Liu L, Yu J, Hu J, Zhang S, Ge B, Sun Y, Liu Z, Liu T, Li J, Song H, Zhao S.",Comput Biol Med. 2023 Oct;165:107395. doi: 10.1016/j.compbiomed.2023.107395. Epub 2023 Sep 1.,Qiang N,Comput Biol Med,2023,2023/09/05,,,10.1016/j.compbiomed.2023.107395
36657973,An fMRI-Based Brain Marker of Individual Differences in Delay Discounting,,TRUE,,https://github.com/canlab,"some code linked, upon request to author","Koban L, Lee S, Schelski DS, Simon MC, Lerman C, Weber B, Kable JW, Plassmann H.",J Neurosci. 2023 Mar 1;43(9):1600-1613. doi: 10.1523/JNEUROSCI.1343-22.2022. Epub 2023 Jan 19.,Koban L,J Neurosci,2023,2023/01/19,PMC10008056,,10.1523/JNEUROSCI.1343-22.2022
37481092,Heterogeneous motor BOLD-fMRI responses in brain areas exhibiting negative BOLD cerebrovascular reactivity indicate that steal phenomenon does not always result from exhausted cerebrovascular reserve capacity,,FALSE,,,,"van Niftrik CHB, Hiller A, Sebök M, Halter M, Duffin J, Fisher JA, Mikulis DJ, Regli L, Piccirelli M, Fierstra J.",Magn Reson Imaging. 2023 Nov;103:124-130. doi: 10.1016/j.mri.2023.07.010. Epub 2023 Jul 21.,van Niftrik CHB,Magn Reson Imaging,2023,2023/07/22,,,10.1016/j.mri.2023.07.010
37633516,"Relationships between age, fMRI correlates of familiarity and familiarity-based memory performance under single and dual task conditions",,FALSE,,,,"de Chastelaine M, Horne ED, Hou M, Rugg MD.",Neuropsychologia. 2023 Oct 10;189:108670. doi: 10.1016/j.neuropsychologia.2023.108670. Epub 2023 Aug 24.,de Chastelaine M,Neuropsychologia,2023,2023/08/26,PMC10591814,NIHMS1934973,10.1016/j.neuropsychologia.2023.108670
36722505,Sex moderates family history of alcohol use disorder and childhood maltreatment effects on an fMRI stop-signal task,,FALSE,,,,"Elton A, Allen JH, Yorke M, Khan F, Xu P, Boettiger CA.",Hum Brain Mapp. 2023 Apr 15;44(6):2436-2450. doi: 10.1002/hbm.26221. Epub 2023 Feb 1.,Elton A,Hum Brain Mapp,2023,2023/02/01,PMC10028663,,10.1002/hbm.26221
37704032,TMS over the pre-SMA enhances semantic cognition via remote network effects on task-based activity and connectivity,,TRUE,,https://osf.io/4nu6c/,,"Martin S, Frieling R, Saur D, Hartwigsen G.",Brain Stimul. 2023 Sep-Oct;16(5):1346-1357. doi: 10.1016/j.brs.2023.09.009. Epub 2023 Sep 11.,Martin S,Brain Stimul,2023,2023/09/13,PMC10615837,,10.1016/j.brs.2023.09.009
35244484,The centrality of working memory networks in differentiating bipolar type I depression from unipolar depression: A task-fMRI study,,FALSE,,,,"Xi C, Liu Z, Zeng C, Tan W, Sun F, Yang J, Palaniyappan L.",Can J Psychiatry. 2023 Jan;68(1):22-32. doi: 10.1177/07067437221078646. Epub 2022 Mar 4.,Xi C,Can J Psychiatry,2023,2022/03/04,PMC9720478,,10.1177/07067437221078646
36586541,Striatal dopamine supports reward expectation and learning: A simultaneous PET/fMRI study,,FALSE,,,"github organization linked, not a specific though though https://github.com/LabNeuroCogDevel","Calabro FJ, Montez DF, Larsen B, Laymon CM, Foran W, Hallquist MN, Price JC, Luna B.",Neuroimage. 2023 Feb 15;267:119831. doi: 10.1016/j.neuroimage.2022.119831. Epub 2022 Dec 28.,Calabro FJ,Neuroimage,2023,2022/12/31,PMC9983071,NIHMS1867083,10.1016/j.neuroimage.2022.119831
37353099,A topography-based predictive framework for naturalistic viewing fMRI,,TRUE,,https://github.com/xuanli-ac/TOPF,,"Li X, Friedrich P, Patil KR, Eickhoff SB, Weis S.",Neuroimage. 2023 Aug 15;277:120245. doi: 10.1016/j.neuroimage.2023.120245. Epub 2023 Jun 22.,Li X,Neuroimage,2023,2023/06/23,,,10.1016/j.neuroimage.2023.120245
38141745,A precision neuroscience approach to estimating reliability of neural responses during emotion processing: Implications for task-fMRI,,,,,,"Flournoy JC, Bryce NV, Dennison MJ, Rodman AM, McNeilly EA, Lurie LA, Bitran D, Reid-Russell A, Vidal Bustamante CM, Madhyastha T, McLaughlin KA.",Neuroimage. 2024 Jan;285:120503. doi: 10.1016/j.neuroimage.2023.120503. Epub 2023 Dec 22.,Flournoy JC,Neuroimage,2024,2023/12/23,PMC10872443,NIHMS1958007,10.1016/j.neuroimage.2023.120503
